WRZ_ID,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
11,0.259082293,0.257484094,0.25584699,0.254193561,0.25252627,0.250972727,0.249360952,0.247702923,0.246003978,0.244263244,0.24207832,0.239864691,0.237625516,0.235362603,0.233073121,0.230773409,0.228455667,0.226124337,0.223784087,0.221434864,0.220187332,0.218934064,0.217675973,0.216422555,0.215164785,0.213889746,0.212593508,0.211275636,0.209931897,0.208567896,0.208826704,0.209057775,0.209268829,0.209452278,0.209614435,0.209758417,0.209877083,0.209972453,0.210052755,0.210114892,0.210169591,0.210219171,0.210261111,0.210301688,0.210339948,0.210379246,0.210421281,0.210474939,0.210543005,0.210623098,0.210719948,0.210828375,0.210949751,0.211074548,0.211205742,0.211342223,0.211483047,0.21161585,0.211741058,0.211860559,0.211975014
12,1.806968331,1.774841984,1.748532505,1.707602703,1.68467244,1.678470773,1.671823311,1.664821759,1.65750698,1.649872283,1.638837141,1.627582253,1.616131796,1.604499619,1.592664046,1.580750162,1.568698247,1.556542308,1.544318083,1.532025174,1.528166131,1.524263187,1.52032332,1.516419222,1.512481805,1.508412191,1.50418029,1.499782777,1.495187235,1.490436586,1.492417859,1.494186797,1.495802502,1.497206872,1.498448251,1.499550487,1.500458923,1.501189017,1.501803762,1.502279443,1.502698192,1.503077744,1.503398809,1.50370944,1.504002338,1.504303183,1.504624977,1.505035751,1.50555682,1.506169964,1.506911389,1.507741442,1.508670623,1.509625992,1.510630333,1.511675148,1.512753213,1.513769869,1.514728383,1.515643211,1.516519411
13,0.834354875,0.827764962,0.821195184,0.814396495,0.806926205,0.804479681,0.801839086,0.799045488,0.796116875,0.793049434,0.788882795,0.784624838,0.780286204,0.775872826,0.771374066,0.766848053,0.762266584,0.75764538,0.753001178,0.748333742,0.74630859,0.744265606,0.742208081,0.740170708,0.738120537,0.736010209,0.733825121,0.731563445,0.729209369,0.726783235,0.727736007,0.72858667,0.729363644,0.730038989,0.730635955,0.731166007,0.731602864,0.731953958,0.732249582,0.732478331,0.732679703,0.732862225,0.733016622,0.733166001,0.733306852,0.733451525,0.733606272,0.733803809,0.734054385,0.734349239,0.734705782,0.735104945,0.735551778,0.736011204,0.73649418,0.73699662,0.737515049,0.738003948,0.738464886,0.738904817,0.739326171
14,1.035604193,1.028175633,1.020506895,1.012669272,1.004599065,0.999666324,0.994484236,0.989104096,0.983548759,0.977814482,0.970178237,0.96241908,0.954550538,0.946580353,0.938496403,0.930368651,0.922163695,0.913900555,0.90559922,0.897259469,0.893637026,0.889990028,0.886322378,0.882674735,0.879008455,0.875268233,0.87143724,0.867513615,0.863479227,0.859358082,0.860466266,0.861455686,0.862359397,0.863144902,0.863839242,0.864455754,0.864963869,0.865372232,0.865716077,0.865982139,0.866216358,0.866428653,0.866608234,0.866781979,0.866945805,0.867114076,0.867294066,0.867523823,0.867815272,0.868158222,0.868572922,0.869037196,0.869556914,0.87009128,0.870653037,0.871237433,0.871840426,0.872409072,0.872945196,0.873456887,0.873946971
15,0.123993641,0.122680342,0.121486309,0.120298034,0.119315852,0.118613956,0.11788672,0.117139421,0.116374393,0.115591204,0.11463578,0.113668104,0.112689559,0.111700926,0.110700906,0.109696812,0.108685129,0.10766784,0.10664704,0.105622705,0.105020918,0.104416706,0.10381048,0.103206539,0.1026008,0.101987402,0.101364553,0.100732042,0.100087933,0.099434758,0.099552358,0.099657356,0.099753257,0.099836615,0.099910299,0.099975723,0.100029644,0.10007298,0.100109469,0.100137703,0.100162558,0.100185087,0.100204144,0.100222582,0.100239967,0.100257824,0.100276925,0.100301307,0.100332235,0.100368629,0.100412637,0.100461906,0.100517058,0.100573765,0.100633379,0.100695395,0.100759385,0.10081973,0.100876623,0.100930924,0.100982932
16,1.067784874,1.042726793,0.991279126,0.964828977,0.938530482,0.935385853,0.932004472,0.928435042,0.924699264,0.920793585,0.915082004,0.909253721,0.903321576,0.897292923,0.891156251,0.884977989,0.878726423,0.872419612,0.866076535,0.859696983,0.85779647,0.855872641,0.853929205,0.852004764,0.850062628,0.848050286,0.845951756,0.843765274,0.841473622,0.839099597,0.840151807,0.841091252,0.841949317,0.842695147,0.843354416,0.843939788,0.844422239,0.844809976,0.845136453,0.845389077,0.845611465,0.845813037,0.845983548,0.846148517,0.846304068,0.84646384,0.846634738,0.846852891,0.847129619,0.847455247,0.847849001,0.848289824,0.848783291,0.849290667,0.84982405,0.850378928,0.850951465,0.851491389,0.852000434,0.852486279,0.85295161
17,0.997886085,0.988066056,0.978061941,0.967997758,0.957889302,0.953475502,0.948827991,0.943995119,0.938998356,0.933833979,0.926977933,0.920007721,0.912936047,0.905770147,0.898498371,0.891187173,0.883804718,0.876369054,0.868899197,0.861394925,0.858066314,0.854714993,0.851344681,0.847994215,0.844626689,0.841189235,0.83766572,0.834054307,0.830337598,0.82653849,0.827598746,0.828545374,0.82941,0.830161534,0.830825844,0.831415693,0.831901833,0.832292535,0.832621508,0.832876064,0.833100153,0.833303266,0.83347508,0.833641311,0.833798052,0.833959046,0.83413125,0.834351071,0.834629916,0.834958033,0.835354798,0.835798992,0.836296233,0.836807488,0.83734495,0.837904071,0.838480986,0.839025038,0.839537976,0.840027536,0.840496425
18,1.011826834,1.005099332,0.998313255,0.991741509,0.985330467,0.980782348,0.975978407,0.970971267,0.96578438,0.960413904,0.953092053,0.945644098,0.938083914,0.930419449,0.922638263,0.914812137,0.906906801,0.89894177,0.890937552,0.88289392,0.879690138,0.876461162,0.873210999,0.869981362,0.866732603,0.863407983,0.859990233,0.856477445,0.852851016,0.849135578,0.850272549,0.851287671,0.852214858,0.853020768,0.853733145,0.854365672,0.854886987,0.855305958,0.855658735,0.855931709,0.856172012,0.856389821,0.856574067,0.856752325,0.856920408,0.85709305,0.857277715,0.857513441,0.857812461,0.85816432,0.858589793,0.859066126,0.859599345,0.860147592,0.860723943,0.861323519,0.861942176,0.862525594,0.863075645,0.863600628,0.864103443
19,0.271350509,0.265334415,0.262214731,0.259114336,0.256026539,0.254882926,0.253674973,0.252415914,0.251111649,0.249761211,0.247919998,0.246047068,0.244145914,0.242218531,0.240261794,0.238293754,0.236305792,0.234302817,0.232289987,0.230267243,0.229461734,0.228649889,0.227832714,0.227020702,0.226203881,0.225367981,0.224508658,0.223625433,0.222713627,0.221779435,0.222065386,0.222320691,0.222553881,0.22275657,0.222935734,0.223094816,0.223225928,0.2233313,0.223420025,0.223488678,0.223549115,0.223603895,0.223650233,0.223695065,0.223737338,0.223780758,0.223827202,0.223886488,0.223961692,0.224050185,0.224157193,0.224276992,0.224411098,0.224548983,0.224693937,0.224844732,0.225000325,0.225147056,0.225285396,0.22541743,0.225543889
20,0.551938889,0.543827571,0.527066276,0.517985418,0.506140757,0.50436508,0.502454872,0.500437808,0.498326218,0.496118085,0.492883773,0.489583146,0.486223501,0.482809017,0.479333153,0.475833655,0.472292504,0.46871996,0.465126809,0.461512931,0.460444206,0.459362232,0.458269116,0.457186795,0.456094418,0.454962148,0.453780903,0.452549679,0.451258695,0.449920903,0.450518807,0.451052634,0.451540218,0.451964025,0.452338646,0.452671276,0.452945422,0.453165748,0.453351264,0.453494814,0.453621184,0.453735724,0.453832614,0.453926356,0.454014746,0.454105534,0.454202645,0.454326607,0.454483854,0.454668887,0.454892633,0.455143124,0.45542353,0.45571184,0.456014928,0.456330229,0.456655565,0.45696237,0.457251628,0.457527703,0.45779212
